
1;49;44;57
2;42;41;62
3;36;45;67
4;33;42;68
5;37;37;73
6;37;41;60
7;34;58;77
8;39;72;111
9;56;63;120
10;57;77;310
11;62;84;798
12;78;77;2337
13;94;95;3514
14;150;113;4553
15;183;134;5936
16;215;142;8024
17;198;163;10406
18;218;164;12301
19;201;206;11795
20;241;214;12040
21;238;250;10484
22;230;244;9490
23;214;218;10244
24;229;208;9247
25;233;198;9560
26;227;177;8632
27;227;173;9911
28;205;176;9686
29;179;187;8665
30;148;168;8500
31;125;133;7735
32;89;109;7106
33;111;102;7143
34;119;91;6389
35;85;74;5763
36;70;77;5827
37;73;73;5032
38;67;62;4587
39;50;60;4318
40;43;65;4500
41;60;55;4083
42;48;64;3190
43;36;53;3229
44;35;46;3074
45;37;49;3655
46;41;46;3941
47;43;46;4045
48;44;29;3383
49;38;54;2649
50;35;34;1179
51;34;46;253
52;29;25
