"Data";"BR"
"2020-08-15 00:00:00";709
"2020-08-16 00:00:00";620
"2020-08-17 00:00:00";684
"2020-08-18 00:00:00";1352
"2020-08-19 00:00:00";1212
"2020-08-20 00:00:00";1204
"2020-08-21 00:00:00";1054
"2020-08-22 00:00:00";892
"2020-08-23 00:00:00";494
"2020-08-24 00:00:00";565
"2020-08-25 00:00:00";1271
"2020-08-26 00:00:00";1085
"2020-08-27 00:00:00";984
"2020-08-28 00:00:00";855
"2020-08-29 00:00:00";958
"2020-08-30 00:00:00";366
"2020-08-31 00:00:00";553
"2020-09-01 00:00:00";1215
"2020-09-02 00:00:00";1184
"2020-09-03 00:00:00";834
"2020-09-04 00:00:00";907
"2020-09-05 00:00:00";682
"2020-09-06 00:00:00";447
"2020-09-07 00:00:00";310
"2020-09-08 00:00:00";504
"2020-09-09 00:00:00";1075
"2020-09-10 00:00:00";983
"2020-09-11 00:00:00";874
"2020-09-12 00:00:00";814
"2020-09-13 00:00:00";415
"2020-09-14 00:00:00";381
"2020-09-15 00:00:00";1113
"2020-09-16 00:00:00";987
"2020-09-17 00:00:00";829
"2020-09-18 00:00:00";858
"2020-09-19 00:00:00";739
"2020-09-20 00:00:00";363
"2020-09-21 00:00:00";377
"2020-09-22 00:00:00";836
"2020-09-23 00:00:00";869
"2020-09-24 00:00:00";831
"2020-09-25 00:00:00";729
"2020-09-26 00:00:00";869
"2020-09-27 00:00:00";335
"2020-09-28 00:00:00";317
"2020-09-29 00:00:00";863
"2020-09-30 00:00:00";1031
"2020-10-01 00:00:00";728
"2020-10-02 00:00:00";708
"2020-10-03 00:00:00";599
"2020-10-04 00:00:00";365
"2020-10-05 00:00:00";323
"2020-10-06 00:00:00";819
"2020-10-07 00:00:00";734
"2020-10-08 00:00:00";729
"2020-10-09 00:00:00";682
"2020-10-10 00:00:00";559
"2020-10-11 00:00:00";290
"2020-10-12 00:00:00";201
"2020-10-13 00:00:00";309
"2020-10-14 00:00:00";749
"2020-10-15 00:00:00";713
"2020-10-16 00:00:00";754
"2020-10-17 00:00:00";461
"2020-10-18 00:00:00";230
"2020-10-19 00:00:00";271
"2020-10-20 00:00:00";661
"2020-10-21 00:00:00";566
"2020-10-22 00:00:00";497
"2020-10-23 00:00:00";571
"2020-10-24 00:00:00";432
"2020-10-25 00:00:00";231
"2020-10-26 00:00:00";263
"2020-10-27 00:00:00";549
"2020-10-28 00:00:00";510
"2020-10-29 00:00:00";513
